checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
1 - 200 DM,18.0,good,car,5866.0,100 - 500 DM,1 - 4 years,2.0,2.0,30.0,none,own,2.0,skilled,1.0,yes,no
unknown,12.0,critical,business,1264.0,unknown,> 7 years,4.0,4.0,57.0,none,rent,1.0,unskilled,1.0,no,no
> 200 DM,12.0,good,furniture/appliances,1474.0,< 100 DM,< 1 year,4.0,1.0,33.0,bank,own,1.0,management,1.0,yes,no
1 - 200 DM,45.0,critical,furniture/appliances,4746.0,< 100 DM,< 1 year,4.0,2.0,25.0,none,own,,unskilled,1.0,no,yes
unknown,48.0,critical,education,6110.0,,1 - 4 years,1.0,3.0,31.0,bank,other,1.0,skilled,1.0,yes,no
> 200 DM,18.0,good,furniture/appliances,2100.0,< 100 DM,1 - 4 years,4.0,2.0,37.0,store,own,1.0,skilled,1.0,no,yes
> 200 DM,10.0,good,furniture/appliances,1225.0,< 100 DM,1 - 4 years,2.0,2.0,37.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,9.0,,furniture/appliances,458.0,< 100 DM,1 - 4 years,4.0,3.0,24.0,none,own,1.0,skilled,1.0,,no
unknown,30.0,good,furniture/appliances,2333.0,500 - 1000 DM,> 7 years,4.0,2.0,30.0,bank,own,1.0,management,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,1158.0,500 - 1000 DM,1 - 4 years,3.0,1.0,26.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,poor,renovations,6204.0,< 100 DM,1 - 4 years,2.0,4.0,44.0,none,own,1.0,unskilled,2.0,yes,no
< 0 DM,30.0,critical,car,6187.0,100 - 500 DM,4 - 7 years,1.0,4.0,24.0,none,rent,2.0,skilled,1.0,no,no
< 0 DM,48.0,critical,car,6143.0,< 100 DM,> 7 years,4.0,4.0,58.0,store,other,2.0,unskilled,1.0,no,yes
unknown,11.0,critical,car,1393.0,< 100 DM,< 1 year,4.0,4.0,35.0,none,,2.0,management,1.0,no,no
unknown,36.0,good,furniture/appliances,2299.0,500 - 1000 DM,> 7 years,4.0,4.0,39.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,6.0,good,car,1352.0,500 - 1000 DM,unemployed,1.0,2.0,23.0,none,rent,1.0,unemployed,1.0,yes,no
unknown,11.0,critical,car,7228.0,< 100 DM,1 - 4 years,1.0,4.0,39.0,none,own,2.0,unskilled,1.0,no,no
unknown,12.0,good,furniture/appliances,2073.0,100 - 500 DM,1 - 4 years,4.0,2.0,28.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,24.0,poor,furniture/appliances,2333.0,unknown,< 1 year,4.0,2.0,29.0,bank,own,1.0,unskilled,1.0,no,no
1 - 200 DM,27.0,poor,car,5965.0,< 100 DM,> 7 years,1.0,2.0,30.0,none,own,2.0,management,1.0,yes,no
unknown,12.0,good,furniture/appliances,1262.0,< 100 DM,1 - 4 years,3.0,2.0,25.0,none,own,1.0,skilled,1.0,no,no
unknown,18.0,good,car,3378.0,unknown,1 - 4 years,2.0,,31.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,36.0,poor,car,2225.0,< 100 DM,> 7 years,4.0,4.0,,bank,other,2.0,skilled,1.0,yes,yes
unknown,6.0,very good,car,783.0,unknown,1 - 4 years,1.0,2.0,26.0,store,own,1.0,unskilled,2.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,6468.0,unknown,unemployed,2.0,1.0,52.0,none,own,1.0,management,1.0,yes,yes
unknown,36.0,critical,furniture/appliances,9566.0,< 100 DM,1 - 4 years,2.0,2.0,31.0,store,own,2.0,skilled,1.0,no,no
> 200 DM,18.0,good,car,1961.0,< 100 DM,> 7 years,3.0,2.0,23.0,none,own,1.0,management,1.0,no,no
< 0 DM,36.0,critical,furniture/appliances,6229.0,< 100 DM,< 1 year,4.0,4.0,23.0,none,rent,2.0,unskilled,1.0,yes,yes
1 - 200 DM,9.0,good,business,1391.0,< 100 DM,1 - 4 years,2.0,1.0,27.0,bank,own,1.0,skilled,1.0,yes,no
1 - 200 DM,15.0,critical,furniture/appliances,1537.0,,> 7 years,4.0,4.0,50.0,none,own,2.0,skilled,1.0,yes,no
1 - 200 DM,36.0,perfect,business,1953.0,< 100 DM,> 7 years,4.0,4.0,61.0,none,other,1.0,management,1.0,yes,yes
1 - 200 DM,48.0,perfect,business,14421.0,< 100 DM,1 - 4 years,2.0,2.0,25.0,none,own,1.0,skilled,1.0,yes,yes
unknown,24.0,good,furniture/appliances,3181.0,< 100 DM,< 1 year,,4.0,26.0,none,own,1.0,skilled,1.0,yes,no
unknown,27.0,good,renovations,5190.0,unknown,> 7 years,4.0,4.0,48.0,none,own,4.0,skilled,2.0,yes,no
unknown,12.0,good,furniture/appliances,2171.0,< 100 DM,< 1 year,2.0,2.0,29.0,bank,own,1.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,car,1007.0,> 1000 DM,1 - 4 years,4.0,1.0,22.0,none,own,1.0,skilled,1.0,no,no
unknown,36.0,good,education,1819.0,< 100 DM,1 - 4 years,4.0,4.0,37.0,store,other,1.0,skilled,1.0,yes,yes
unknown,36.0,good,furniture/appliances,2394.0,unknown,1 - 4 years,4.0,4.0,25.0,none,own,1.0,skilled,1.0,no,no
unknown,,good,,8133.0,< 100 DM,1 - 4 years,1.0,2.0,30.0,bank,own,1.0,skilled,1.0,no,no
unknown,7.0,critical,furniture/appliances,730.0,unknown,> 7 years,4.0,2.0,46.0,none,rent,2.0,unskilled,1.0,yes,no
< 0 DM,8.0,critical,car0,1164.0,< 100 DM,> 7 years,3.0,4.0,51.0,bank,other,2.0,management,2.0,yes,no
1 - 200 DM,42.0,critical,business,5954.0,< 100 DM,4 - 7 years,2.0,1.0,41.0,bank,own,2.0,unskilled,1.0,no,no
< 0 DM,36.0,good,education,1977.0,unknown,> 7 years,4.0,4.0,40.0,,own,1.0,management,1.0,yes,yes
< 0 DM,12.0,critical,car,1526.0,< 100 DM,> 7 years,4.0,4.0,66.0,none,other,2.0,management,1.0,no,no
,42.0,good,furniture/appliances,3965.0,< 100 DM,< 1 year,4.0,3.0,34.0,none,own,1.0,skilled,1.0,no,yes
1 - 200 DM,11.0,poor,furniture/appliances,4771.0,< 100 DM,4 - 7 years,2.0,4.0,51.0,none,own,1.0,skilled,1.0,no,no
unknown,54.0,perfect,car,9436.0,unknown,1 - 4 years,2.0,2.0,39.0,none,own,1.0,unskilled,2.0,no,no
1 - 200 DM,30.0,good,furniture/appliances,3832.0,< 100 DM,< 1 year,2.0,1.0,22.0,none,own,1.0,,1.0,no,no
unknown,24.0,good,furniture/appliances,5943.0,unknown,< 1 year,1.0,1.0,44.0,none,own,2.0,skilled,1.0,yes,yes
unknown,15.0,good,furniture/appliances,1213.0,500 - 1000 DM,> 7 years,4.0,3.0,47.0,store,own,1.0,skilled,1.0,yes,no
unknown,18.0,good,business,1568.0,100 - 500 DM,1 - 4 years,3.0,4.0,24.0,none,rent,1.0,unskilled,1.0,no,no
< 0 DM,24.0,good,car0,1755.0,< 100 DM,> 7 years,4.0,4.0,58.0,none,own,1.0,unskilled,1.0,yes,no
< 0 DM,10.0,good,furniture/appliances,2315.0,< 100 DM,> 7 years,3.0,4.0,52.0,none,own,1.0,unskilled,1.0,no,no
unknown,12.0,critical,business,1412.0,< 100 DM,1 - 4 years,4.0,2.0,29.0,none,own,2.0,management,1.0,yes,no
1 - 200 DM,18.0,critical,furniture/appliances,1295.0,< 100 DM,< 1 year,4.0,1.0,27.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,36.0,good,education,12612.0,100 - 500 DM,1 - 4 years,1.0,4.0,47.0,none,other,1.0,skilled,2.0,yes,
< 0 DM,18.0,good,car,2249.0,100 - 500 DM,4 - 7 years,,3.0,30.0,none,own,1.0,management,2.0,yes,no
< 0 DM,12.0,perfect,renovations,1108.0,< 100 DM,4 - 7 years,4.0,3.0,28.0,none,own,2.0,skilled,1.0,no,yes
unknown,,critical,furniture/appliances,618.0,< 100 DM,> 7 years,,4.0,56.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,12.0,critical,car,1409.0,< 100 DM,> 7 years,4.0,3.0,54.0,none,own,1.0,skilled,1.0,no,no
unknown,12.0,critical,furniture/appliances,797.0,unknown,> 7 years,4.0,3.0,33.0,bank,own,1.0,unskilled,2.0,no,yes
> 200 DM,,critical,furniture/appliances,3617.0,unknown,> 7 years,4.0,4.0,20.0,none,,2.0,skilled,1.0,,no
1 - 200 DM,12.0,good,,1318.0,> 1000 DM,> 7 years,4.0,4.0,54.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,54.0,perfect,business,15945.0,< 100 DM,,3.0,4.0,58.0,none,rent,1.0,skilled,1.0,yes,yes
unknown,12.0,critical,education,2012.0,unknown,4 - 7 years,4.0,2.0,61.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,18.0,good,,2622.0,100 - 500 DM,1 - 4 years,4.0,4.0,34.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,36.0,critical,furniture/appliances,2337.0,< 100 DM,> 7 years,4.0,4.0,36.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,20.0,poor,car,7057.0,unknown,4 - 7 years,3.0,4.0,36.0,bank,rent,2.0,management,2.0,yes,no
unknown,,good,car,1469.0,100 - 500 DM,> 7 years,4.0,4.0,41.0,none,rent,1.0,unskilled,1.0,no,no
1 - 200 DM,36.0,good,furniture/appliances,2323.0,,4 - 7 years,4.0,4.0,,none,rent,1.0,skilled,1.0,no,no
unknown,6.0,poor,furniture/appliances,932.0,< 100 DM,1 - 4 years,3.0,2.0,24.0,none,own,1.0,,1.0,,no
1 - 200 DM,9.0,critical,furniture/appliances,1919.0,< 100 DM,4 - 7 years,4.0,3.0,35.0,none,rent,1.0,skilled,1.0,yes,no
unknown,12.0,good,car,2445.0,unknown,< 1 year,2.0,4.0,26.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,24.0,critical,,11938.0,< 100 DM,1 - 4 years,2.0,3.0,39.0,none,own,2.0,management,2.0,yes,yes
unknown,18.0,very good,car,6458.0,< 100 DM,> 7 years,2.0,4.0,39.0,bank,own,2.0,management,2.0,yes,yes
1 - 200 DM,12.0,good,car,6078.0,< 100 DM,4 - 7 years,2.0,2.0,32.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,24.0,good,furniture/appliances,7721.0,unknown,< 1 year,1.0,2.0,30.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,14.0,good,business,1410.0,500 - 1000 DM,> 7 years,1.0,2.0,35.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,6.0,poor,business,1449.0,100 - 500 DM,> 7 years,1.0,2.0,31.0,bank,own,2.0,skilled,2.0,no,no
> 200 DM,15.0,good,education,392.0,< 100 DM,< 1 year,4.0,4.0,23.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,good,car,6260.0,< 100 DM,4 - 7 years,3.0,3.0,28.0,none,rent,1.0,unskilled,1.0,no,no
unknown,36.0,critical,car,7855.0,< 100 DM,1 - 4 years,4.0,2.0,25.0,store,own,2.0,skilled,1.0,yes,yes
< 0 DM,12.0,good,furniture/appliances,1680.0,500 - 1000 DM,> 7 years,,1.0,35.0,none,own,1.0,skilled,1.0,no,no
unknown,48.0,critical,furniture/appliances,3578.0,unknown,> 7 years,4.0,1.0,47.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,42.0,good,furniture/appliances,7174.0,unknown,4 - 7 years,4.0,3.0,30.0,none,own,1.0,management,1.0,yes,yes
< 0 DM,10.0,critical,furniture/appliances,2132.0,unknown,< 1 year,2.0,3.0,27.0,none,rent,,skilled,1.0,no,no
< 0 DM,33.0,critical,furniture/appliances,4281.0,500 - 1000 DM,1 - 4 years,1.0,4.0,23.0,none,own,2.0,skilled,1.0,,yes
1 - 200 DM,12.0,critical,car,2366.0,500 - 1000 DM,4 - 7 years,3.0,3.0,36.0,none,own,1.0,management,1.0,yes,no
< 0 DM,21.0,good,furniture/appliances,1835.0,< 100 DM,1 - 4 years,3.0,2.0,25.0,none,own,2.0,skilled,1.0,yes,yes
unknown,24.0,critical,car,3868.0,< 100 DM,> 7 years,4.0,2.0,41.0,none,rent,2.0,management,1.0,yes,no
unknown,12.0,,furniture/appliances,1768.0,< 100 DM,1 - 4 years,3.0,2.0,24.0,none,rent,1.0,unskilled,1.0,,no
> 200 DM,10.0,critical,car,781.0,< 100 DM,,4.0,4.0,63.0,none,other,2.0,skilled,1.0,,no
1 - 200 DM,18.0,good,furniture/appliances,1924.0,unknown,< 1 year,4.0,3.0,27.0,none,rent,1.0,skilled,1.0,no,yes
< 0 DM,12.0,critical,car,2121.0,< 100 DM,1 - 4 years,4.0,2.0,30.0,none,own,2.0,skilled,1.0,no,
< 0 DM,12.0,good,furniture/appliances,701.0,< 100 DM,1 - 4 years,4.0,2.0,40.0,none,own,,unskilled,1.0,no,no
1 - 200 DM,12.0,good,renovations,639.0,< 100 DM,1 - 4 years,4.0,2.0,30.0,none,own,1.0,skilled,1.0,no,
1 - 200 DM,12.0,critical,car,1860.0,< 100 DM,unemployed,4.0,2.0,34.0,none,own,2.0,management,1.0,yes,no
< 0 DM,12.0,critical,car,3499.0,< 100 DM,1 - 4 years,3.0,2.0,29.0,none,,2.0,,1.0,no,yes
1 - 200 DM,48.0,,car,8487.0,unknown,4 - 7 years,1.0,2.0,24.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,36.0,poor,education,6887.0,< 100 DM,1 - 4 years,4.0,3.0,29.0,store,own,1.0,skilled,1.0,yes,yes
unknown,15.0,good,furniture/appliances,2708.0,< 100 DM,< 1 year,2.0,3.0,27.0,bank,own,2.0,unskilled,1.0,no,no
unknown,18.0,good,furniture/appliances,1984.0,< 100 DM,1 - 4 years,4.0,4.0,47.0,bank,other,2.0,skilled,1.0,no,no
unknown,60.0,good,furniture/appliances,10144.0,100 - 500 DM,4 - 7 years,2.0,4.0,21.0,none,own,1.0,skilled,1.0,yes,
unknown,12.0,critical,furniture/appliances,1240.0,unknown,> 7 years,4.0,2.0,38.0,,own,2.0,skilled,1.0,yes,no
,27.0,poor,car,8613.0,> 1000 DM,1 - 4 years,2.0,2.0,27.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,12.0,good,furniture/appliances,766.0,500 - 1000 DM,,4.0,3.0,66.0,none,own,1.0,unskilled,,no,yes
1 - 200 DM,15.0,critical,furniture/appliances,2728.0,unknown,4 - 7 years,4.0,2.0,35.0,bank,own,3.0,,1.0,yes,no
> 200 DM,12.0,good,furniture/appliances,1881.0,< 100 DM,1 - 4 years,2.0,2.0,44.0,none,rent,1.0,unskilled,1.0,yes,no
> 200 DM,6.0,good,car,709.0,> 1000 DM,< 1 year,2.0,2.0,27.0,none,own,1.0,unemployed,1.0,no,no
1 - 200 DM,36.0,good,furniture/appliances,4795.0,< 100 DM,< 1 year,4.0,1.0,30.0,none,own,1.0,management,1.0,yes,no
< 0 DM,27.0,good,furniture/appliances,3416.0,< 100 DM,1 - 4 years,3.0,2.0,27.0,none,own,1.0,management,1.0,no,no
< 0 DM,18.0,good,furniture/appliances,2462.0,< 100 DM,1 - 4 years,2.0,2.0,22.0,none,own,1.0,skilled,1.0,no,yes
unknown,21.0,critical,furniture/appliances,2288.0,< 100 DM,< 1 year,4.0,4.0,23.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,48.0,very good,business,3566.0,100 - 500 DM,4 - 7 years,4.0,2.0,30.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,6.0,critical,car,860.0,< 100 DM,> 7 years,1.0,4.0,39.0,none,own,2.0,skilled,1.0,yes,no
unknown,12.0,critical,car,682.0,100 - 500 DM,4 - 7 years,4.0,3.0,51.0,none,own,,,1.0,yes,no
< 0 DM,36.0,critical,furniture/appliances,,< 100 DM,1 - 4 years,3.0,2.0,28.0,none,own,2.0,skilled,1.0,no,no
unknown,18.0,critical,furniture/appliances,1582.0,> 1000 DM,> 7 years,4.0,4.0,46.0,none,own,2.0,skilled,1.0,no,no
unknown,6.0,good,furniture/appliances,1346.0,100 - 500 DM,> 7 years,2.0,4.0,42.0,bank,other,1.0,skilled,2.0,yes,no
unknown,10.0,good,furniture/appliances,1924.0,< 100 DM,1 - 4 years,1.0,4.0,38.0,none,own,1.0,skilled,1.0,yes,no
> 200 DM,36.0,good,furniture/appliances,5848.0,< 100 DM,1 - 4 years,4.0,1.0,24.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,24.0,critical,car,7758.0,> 1000 DM,> 7 years,2.0,4.0,29.0,none,rent,1.0,skilled,1.0,no,no
1 - 200 DM,24.0,poor,business,6967.0,100 - 500 DM,4 - 7 years,4.0,4.0,36.0,none,rent,1.0,management,1.0,yes,no
< 0 DM,12.0,good,furniture/appliances,1282.0,< 100 DM,1 - 4 years,2.0,4.0,20.0,none,rent,1.0,skilled,1.0,no,yes
< 0 DM,9.0,critical,renovations,1288.0,100 - 500 DM,> 7 years,3.0,4.0,48.0,none,own,2.0,skilled,2.0,no,no
< 0 DM,12.0,very good,education,339.0,,> 7 years,4.0,1.0,45.0,bank,own,1.0,unskilled,1.0,no,no
1 - 200 DM,24.0,good,car,3512.0,100 - 500 DM,4 - 7 years,2.0,3.0,38.0,bank,own,2.0,skilled,1.0,yes,no
unknown,6.0,critical,furniture/appliances,1898.0,,1 - 4 years,1.0,2.0,34.0,none,own,2.0,unskilled,2.0,no,no
unknown,24.0,critical,furniture/appliances,2872.0,100 - 500 DM,> 7 years,3.0,4.0,36.0,none,own,1.0,skilled,2.0,yes,no
unknown,18.0,critical,car,1055.0,< 100 DM,< 1 year,4.0,1.0,30.0,none,own,2.0,skilled,1.0,no,no
unknown,15.0,good,furniture/appliances,1262.0,500 - 1000 DM,4 - 7 years,4.0,3.0,36.0,none,own,2.0,skilled,1.0,yes,no
1 - 200 DM,10.0,good,car,7308.0,< 100 DM,unemployed,2.0,4.0,70.0,bank,other,1.0,management,1.0,,no
unknown,36.0,good,car,909.0,500 - 1000 DM,> 7 years,4.0,4.0,36.0,none,own,1.0,skilled,1.0,no,
unknown,6.0,good,furniture/appliances,2978.0,500 - 1000 DM,1 - 4 years,1.0,2.0,32.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,18.0,good,furniture/appliances,1131.0,< 100 DM,unemployed,4.0,2.0,33.0,none,own,1.0,skilled,1.0,no,yes
1 - 200 DM,11.0,good,furniture/appliances,1577.0,> 1000 DM,< 1 year,4.0,1.0,20.0,none,own,1.0,skilled,1.0,no,no
unknown,24.0,good,furniture/appliances,3972.0,< 100 DM,4 - 7 years,2.0,4.0,25.0,none,rent,1.0,skilled,1.0,yes,no
1 - 200 DM,24.0,critical,business,1935.0,< 100 DM,> 7 years,4.0,4.0,31.0,none,own,2.0,,,yes,yes
< 0 DM,15.0,perfect,car,950.0,< 100 DM,> 7 years,4.0,3.0,,none,rent,2.0,skilled,,no,yes
unknown,12.0,good,furniture/appliances,763.0,,1 - 4 years,4.0,1.0,26.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,,poor,furniture/appliances,2064.0,< 100 DM,unemployed,3.0,2.0,34.0,none,own,,management,1.0,yes,yes
1 - 200 DM,8.0,good,furniture/appliances,1414.0,,1 - 4 years,4.0,2.0,33.0,none,own,1.0,skilled,1.0,no,no
,21.0,poor,education,3414.0,< 100 DM,< 1 year,2.0,1.0,26.0,none,own,2.0,skilled,1.0,no,yes
unknown,30.0,very good,car,7485.0,unknown,unemployed,4.0,1.0,53.0,bank,own,1.0,management,,,yes
< 0 DM,12.0,,furniture/appliances,2577.0,< 100 DM,1 - 4 years,2.0,1.0,42.0,none,own,1.0,,1.0,no,no
< 0 DM,6.0,critical,furniture/appliances,338.0,500 - 1000 DM,> 7 years,4.0,4.0,52.0,none,own,2.0,skilled,1.0,no,no
unknown,12.0,good,furniture/appliances,1963.0,< 100 DM,4 - 7 years,4.0,2.0,31.0,none,rent,2.0,management,2.0,yes,no
< 0 DM,21.0,critical,car,571.0,< 100 DM,> 7 years,4.0,4.0,65.0,none,own,2.0,skilled,1.0,no,no
unknown,36.0,poor,business,9572.0,< 100 DM,< 1 year,1.0,1.0,28.0,none,own,2.0,skilled,1.0,no,yes
1 - 200 DM,36.0,poor,business,4455.0,< 100 DM,1 - 4 years,2.0,2.0,30.0,store,own,,management,1.0,yes,yes
< 0 DM,21.0,very good,car,1647.0,unknown,1 - 4 years,4.0,,,none,own,2.0,unskilled,2.0,no,yes
unknown,24.0,critical,furniture/appliances,3777.0,> 1000 DM,1 - 4 years,4.0,4.0,50.0,none,own,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,critical,car,884.0,< 100 DM,> 7 years,4.0,4.0,36.0,bank,own,1.0,skilled,2.0,yes,yes
unknown,15.0,critical,furniture/appliances,1360.0,< 100 DM,1 - 4 years,4.0,2.0,31.0,none,own,2.0,skilled,1.0,no,no
1 - 200 DM,9.0,very good,car,5129.0,< 100 DM,> 7 years,2.0,4.0,74.0,bank,other,1.0,management,2.0,yes,yes
1 - 200 DM,16.0,critical,car,1175.0,< 100 DM,unemployed,2.0,3.0,68.0,none,other,3.0,unemployed,1.0,yes,no
< 0 DM,12.0,good,furniture/appliances,674.0,100 - 500 DM,4 - 7 years,4.0,1.0,,none,own,1.0,skilled,1.0,no,yes
1 - 200 DM,18.0,perfect,furniture/appliances,3244.0,< 100 DM,1 - 4 years,1.0,4.0,33.0,bank,own,2.0,skilled,1.0,yes,no
unknown,24.0,good,business,4591.0,> 1000 DM,1 - 4 years,2.0,3.0,54.0,none,own,3.0,management,1.0,yes,yes
1 - 200 DM,48.0,perfect,business,3844.0,100 - 500 DM,4 - 7 years,4.0,4.0,34.0,none,other,1.0,unskilled,2.0,no,yes
1 - 200 DM,27.0,good,business,3915.0,< 100 DM,1 - 4 years,4.0,2.0,36.0,none,own,1.0,skilled,2.0,yes,yes
unknown,6.0,good,furniture/appliances,2108.0,< 100 DM,,2.0,2.0,29.0,none,rent,1.0,skilled,1.0,no,no
1 - 200 DM,45.0,good,furniture/appliances,3031.0,100 - 500 DM,1 - 4 years,4.0,4.0,21.0,none,rent,1.0,skilled,1.0,no,yes
1 - 200 DM,9.0,critical,education,1501.0,< 100 DM,> 7 years,2.0,3.0,34.0,none,own,2.0,management,1.0,yes,yes
unknown,6.0,critical,,1382.0,< 100 DM,1 - 4 years,1.0,1.0,28.0,none,own,2.0,,1.0,yes,no
1 - 200 DM,12.0,good,furniture/appliances,951.0,100 - 500 DM,< 1 year,4.0,4.0,27.0,bank,rent,4.0,skilled,1.0,no,yes
1 - 200 DM,24.0,good,car,2760.0,unknown,> 7 years,4.0,4.0,36.0,bank,other,1.0,skilled,1.0,yes,no
1 - 200 DM,18.0,poor,furniture/appliances,4297.0,< 100 DM,> 7 years,4.0,3.0,40.0,none,own,1.0,management,1.0,yes,yes
unknown,9.0,critical,education,936.0,500 - 1000 DM,> 7 years,4.0,2.0,52.0,none,own,2.0,skilled,1.0,yes,no
